Name,tempo,beats,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,label
"Mike WiLL Made-It - 23 ft. Miley Cyrus, Wiz Khalifa, Juicy J (Official Music Video)-bbEoRnaOIbs.mp3",140.625,415,0.6253254790070405,0.11738454550504684,2564.8807494393213,3212.641548977117,5717.615345016591,0.03548233021376511,123.2999155134778,-9.449580935401732,38.50145157454142,-3.1633627885134605,29.538578358754197,-0.09576071358889605,11.179603512114543,4.176122650300298,9.342212506397974,8.471287143497934,7.587148253748604,Hip_Hop
"G-Eazy x Bebe Rexha - Me, Myself & I (Official Music Video)-bSfpSOBD30U.mp3",112.5,318,0.4655077909423639,0.11229045689105988,2691.3533080508655,3239.2135338447256,5837.441577536146,0.0482939841990845,145.9825027616633,-17.965509616328735,42.93619853784838,-8.245049288918073,19.903362684578877,-6.710363992826549,8.258069034881817,-2.6277700071325567,0.19634819438748055,4.6998928462719505,-1.9189824520282739,Hip_Hop
MACKLEMORE & RYAN LEWIS - CAN'T HOLD US FEAT. RAY DALTON (OFFICIAL MUSIC VIDEO)-2zNSgSzhBfM.mp3,147.65625,323,0.43514931864097023,0.21617552638053894,2920.795391392357,3428.790476318991,6120.771321866535,0.058940560702076886,127.57264746168721,-19.84613016095522,27.731503492654895,-7.8926278888281,23.331417621759517,-16.115268386025743,6.8346789711790645,-7.882778086243365,5.563878957875669,-3.4169977876107414,7.052462014451039,Hip_Hop
Nicki Minaj - Super Bass-4JipHEz53sU.mp3,126.04801829268293,376,0.45837085226085245,0.1253366619348526,2985.8332148579884,3652.3950613479706,6570.478324772034,0.049357820713606164,127.43348588919702,-20.864865453927912,33.12738527694103,-11.10129099452578,16.733088238614627,-13.18007057045618,24.263872114924876,-5.73014041594267,6.972993269765443,4.2422811907438955,5.137314114139899,Hip_Hop
Yo Gotti - Law (Official Music Video) ft. E-40-i6wkPVjciD4.mp3,144.23076923076923,431,0.4622256569408982,0.15639477968215942,3605.2149774944,3794.828002110814,7708.7209646835745,0.0691053956061863,114.43639342979,-22.62861399612385,39.392192800392884,-17.525763007543265,23.02668635200404,-5.663249961355405,12.996077832799918,-0.7055064919587757,9.106825591202611,1.3027760976319762,5.149549461435548,Hip_Hop
Yo Gotti - Down In the DM (Official Music Video)-YXSpXO4N-tI.mp3,102.27272727272727,306,0.515451086863439,0.2287348359823227,3123.1961533633416,3568.68679671288,6740.08947617919,0.052104927346897964,121.76239951972684,-10.673278154439425,30.884091013734018,-18.374432716451864,28.984761911193385,-0.7543738118340285,7.040211411459804,-6.1392420212712775,1.6985353140491288,-5.322852082218374,1.1440926092803132,Hip_Hop
Little Mix - Salute (Official Music Video)-Kjpa0SMOug0.mp3,165.44117647058823,438,0.48534331273261,0.2359386831521988,3456.992648315239,3671.5723560759507,7357.652879829344,0.06433953219438848,119.38108113109402,-20.956564121739905,37.53060919001021,-15.351822704699968,23.837112585331585,-17.153298960107445,15.952415541717588,-4.146316323767075,2.0250073204138155,-0.01822525785816134,3.8030086852581393,Hip_Hop
Jason Derulo - 'Get Ugly' (Official Music Video)-S2lgnitdPdc.mp3,110.29411764705883,333,0.48134125611468903,0.2244819849729538,3440.7158118597927,3747.046921929101,7276.697954936004,0.06925544458476535,125.29606162114769,-25.880447707213314,34.40772642806906,-12.815206495513781,27.643063032360473,-10.53434567062043,11.557807832912292,-3.1079768337799107,5.977509271723468,-3.2360621024855645,5.94724326998114,Hip_Hop
Panic! At The Disco - Emperor's New Clothes [OFFICIAL VIDEO]-7qFF2v8VsaA.mp3,93.75,282,0.49051985259067643,0.19895973801612854,3502.010340496437,3536.211892196837,7244.492918938137,0.07993412311677826,132.65848386732287,-47.43573895387085,45.77020275607552,-19.456509517747826,24.905684189388502,-12.240579014991587,12.460790198166942,-7.661853414125023,6.47313003379528,-0.9756589834719988,4.5631528568304605,Hip_Hop
"50 Cent - P.I.M.P. (Snoop Dogg Remix) ft. Snoop Dogg, G-Unit-UDApZhXTpH8.mp3",114.79591836734694,345,0.5144230972691392,0.09080091118812561,3302.0268439190095,3807.9910550664026,6790.798971172078,0.06353376397139429,117.59485409319092,-11.62077221864373,25.864976705340567,-2.4135131707080473,31.03963376492176,-5.139051638588934,11.87347288401601,-6.085030806112487,7.51443154301917,-6.088229729261983,8.208606471247558,Hip_Hop
DJ Snake - Middle ft. Bipolar Sunshine-mOKqNxN4jWM.mp3,105.46875,297,0.4137592029510951,0.30355527997016907,2886.1337038450606,3282.901263802511,6168.621032525881,0.05758604004410152,131.1438644623576,-9.179204739447641,38.08560681809809,-24.328198854747278,21.41962751848893,-6.596557098706609,6.792691598601195,-7.379281713903737,4.258972623210295,-6.557817470590055,6.334606723919298,Hip_Hop
Flo Rida - GDFR ft. Sage The Gemini and Lookas [Official Video]-F8Cg572dafQ.mp3,147.65625,420,0.5276146294143168,0.2975982129573822,2941.5904185498234,3254.3975760066637,6300.448013163941,0.05433026482077206,122.47843340955205,-24.80783533965441,32.78507268201589,-8.998073861772353,31.344595989075202,-9.241256937826355,14.122256828459705,1.9617770815044908,7.993540656561636,-0.21630705795886065,7.817072687267602,Hip_Hop
Kevin Gates - 2 Phones (Official Video)-oiY_iKSpWLM.mp3,122.28260869565217,363,0.5018292070724917,0.254547119140625,2385.186509688068,3105.6442720464993,5539.888376985067,0.03938638126999881,139.12667010305773,5.701526941826198,41.93984124808185,-22.129572444078725,31.320258118902487,0.33798272537155105,4.793721725843284,2.9311208891236533,9.5918249222382,2.083468017966174,-4.34935723515317,Hip_Hop
50 Cent - In Da Club (Int'l Version)-5qm8PH4xAss.mp3,122.28260869565217,377,0.4987191467564362,0.06913329660892487,2887.1885891656107,3229.154266306542,5716.009884599431,0.059671724314485065,132.74119019706905,-12.727107017612724,31.017612749905112,-8.09697878970616,20.628301028353754,-2.1109302576753324,9.607316282744229,0.422921510599729,3.1400173329426493,-2.7382062771889486,3.9505579914303857,Hip_Hop
