,name,tempo,beats,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,label
190,"Kygo, Miguel - Remind Me to Forget.mp3",99.38401442307692,280,0.4076632486639059,0.1377682089805603,3198.5366620913646,3762.6881560383117,7120.474999017391,0.057416193502483226,121.636641662037,-3.2281227169298847,38.49251940589097,-5.2559376661920485,25.39896023183319,-7.941731864642228,8.621788919407313,-4.5770340180754605,5.8228563576641825,-5.428508746035489,9.693535444318831,Electronic
191,Lil Dicky - Earth (Official Music Video).mp3,127.8409090909091,369,0.3927531609584396,0.1445859968662262,2110.5694342811953,2539.293358029375,4139.453310174212,0.04489681861445248,152.27972456158267,-11.236116157403664,23.20504057940441,-5.20198744056612,7.811567908267741,-3.8226351218915617,-2.7339113148360976,-4.376139466658871,-3.0659282487051325,-1.1879411241797655,-2.337197468213095,Electronic
192,Axwell Λ Ingrosso - Dreamer [Lyric Video].mp3,125.0,361,0.4053033521350543,0.21729658544063568,2658.8125011552092,3069.8446498450708,5608.010728993838,0.05372005154324188,150.664907995786,-31.63729566543123,36.185879520963525,-10.456868810942217,24.567311850597488,-5.524360254180597,2.0131744176037003,-2.4612813110999427,-0.6432809635692551,-1.4740141907002586,-0.2734329428742387,Electronic
193,"Daddy Yankee, RedOne, French Montana & Dinah Jane _ 'Boom Boom' (Video Oficial).mp3",147.65625,420,0.5382063908685057,0.1987457424402237,3626.0422180695814,3901.7974772915363,7942.595027770051,0.06766921792360038,107.7993086122174,-23.60644406609457,40.17423815539192,-5.95535787511371,27.568923815495786,-11.481991002085564,17.57106288240514,-1.1750732826933463,9.681470996516126,-1.6460837265367043,8.39822506471093,Electronic
194,Jax Jones - Breathe ft. Ina Wroldsen (Official Music Video).mp3,125.0,370,0.4914898485964568,0.25054696202278137,3368.3905877269963,3675.827981973363,7295.112141502725,0.06390350479230861,119.0494354409004,-28.620599762536692,42.77400363098649,-17.456282290204392,23.466808314819964,-17.976846025801187,19.729419008979352,-1.1190244085783745,1.4561428452804348,2.819892245546269,4.493155844418494,Electronic
195,Lost Frequencies feat. Janieck Devy - Reality (Official Music Video).mp3,122.28260869565216,340,0.5140075044699954,0.17984028160572052,2542.733096670647,2794.206068105302,5314.582186123348,0.05301993809982693,142.56481456996954,-26.188507929619288,45.896114790246195,-4.988111285091026,20.88173479616907,0.905590359952318,2.296789883820634,8.870003422934793,-0.95332018074282,5.1618879495492385,-2.3689661905153736,Electronic
196,Marshmello - You & Me (Official Music Video).mp3,156.60511363636363,468,0.3420489103194396,0.26409420371055603,3371.710863345785,3242.6018323144535,6885.138922062452,0.08413148295399574,127.84815007991376,-67.23298551025897,30.931233991071895,-31.153241285163933,22.646782976999603,-22.695545772141166,12.286150240653336,-13.733988871267927,4.740190011125558,-5.4013170558179935,2.456896872291733,Electronic
197,"Zedd, Elley Duhé - Happy Now (Official Music Video).mp3",160.71428571428572,463,0.3769106245148051,0.23278184235095975,2787.620563779291,3265.0971114532,5872.990859800901,0.05332496500207395,139.0211731339479,-16.22444757789205,39.81541747343293,-2.497602770580562,20.67348397809728,-13.874432248164132,13.85252197288691,-6.950543232203146,-0.7403468229156586,2.364630457868362,-3.024501520289892,Electronic
198,Marshmello - Stars (Official Music Video).mp3,140.625,421,0.4790271317387616,0.2447723597288132,4257.355842189355,3927.6309214902412,8640.754621948328,0.0936962416116082,110.26364154881978,-47.031358115506954,38.63780439429297,-31.23835541452058,21.09842870593849,-15.722689251393476,19.462398186779033,-3.3899231444745697,17.950429717792524,-4.003393277322648,7.854301209729613,Electronic
199,Major Lazer - Cold Water (feat. Justin Bieber & MØ) (Official Lyric Video).mp3,125.0,369,0.44296193409869017,0.23346059024333954,2993.62192673163,3350.2135056830653,6602.611511910405,0.05864522264421367,143.87308400830833,-25.28790976539545,36.460713698349,-26.81017081860777,27.491418421087662,-10.160592135072543,7.454336963542628,1.5657251649251622,2.582039199816448,1.8648450916494912,-0.3087474234846796,Electronic
200,Gorillaz - Tranz (Official Video).mp3,133.92857142857142,381,0.5473897745413191,0.17849323153495789,2253.907597325884,2738.238620677699,4482.850609756098,0.04795766896601912,168.3199687274039,-31.558241401020712,22.854970216298817,0.7510612836009308,23.58854272522525,-0.7667218289649573,8.762072500755691,-2.3718842846052355,6.417554686563465,-0.0009816955730485694,6.553636313408916,Electronic
201,Marshmello & Anne-Marie - FRIENDS (Music Video) _OFFICIAL FRIENDZONE ANTHEM.mp3,95.33898305084746,286,0.44293144800946505,0.20180626213550568,4099.561093047166,4025.093659507074,8649.6249296338,0.0909661371918701,112.75305964411743,-32.01052518563628,40.458437160159534,-22.087016833642764,28.933592960284415,-20.814420790174264,17.757177702123503,-5.33994215052306,-0.053543848675780666,-3.4974963855723167,4.3999328820215275,Electronic
202,Alan Walker - Darkside (Live Performance at YouTube Space Berlin with Au_Ra & Tomine Harket).mp3,85.22727272727273,250,0.3758383741699207,0.22201478481292725,2814.8855868880355,3086.9531575513734,5853.132314381371,0.05867794639947262,149.12331297546302,-23.63085068357815,37.539590024461496,-18.727734544813572,21.776211762848376,-10.436121910471273,8.866185421176086,-1.2295428251959155,4.201420849572273,1.2185144584631036,5.345224316646363,Electronic
203,"Zedd, Alessia Cara - Stay (Official Music Video).mp3",101.33272058823529,302,0.3920124138747729,0.22699373960494995,3725.2537659068767,3966.1007061887767,8279.709655950684,0.08888450913877062,114.78595845125555,-14.089400592913654,36.21578351010734,-11.86540270299165,29.959107397790323,-24.516420235195085,19.26388767759026,-11.991670724461205,7.653333312495228,-0.4906033083487538,-1.9386841594915467,Electronic
