name,tempo,beats,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,label
Volbeat - Leviathan.mp3_part_4,90.72580645161291,42,0.4664008745892045,0.2423826903104782,2598.0091459478867,3024.723491167088,5497.764286349095,0.05058267419125489,156.80836365319652,-48.35201650316369,49.39804334106883,-8.363109477458725,25.63909934266179,-5.424879482444895,12.97065708159281,4.439919924771614,2.7887403390127004,6.226381066167246,6.3685358902176255,Metal
Volbeat - Leviathan.mp3_part_5,90.72580645161291,44,0.4829248035205814,0.2611241638660431,2534.650170474311,2772.6609471533807,5152.459007287594,0.05457345777417348,165.8070591171636,-61.971236710813855,51.79623567283128,-5.772524675927036,19.798371443291746,-3.7304754780467553,9.588583623617307,4.7838830206692435,2.2003197676435966,8.558797940728718,4.2079204429085895,Metal
Volbeat - Still Counting (Live from Wacken Open Air 2017).mp3_part_0,95.703125,47,0.4926717602928311,0.13164106011390686,3021.9216351481728,3218.5269235899664,6240.1372667436635,0.07447800769156347,139.8567216834005,-51.4455704273691,24.744380893604546,-18.26469557811857,12.482560795419609,-21.128090789209725,18.290545872900754,-7.840133847844673,9.025712656008787,-0.8920534259714953,2.21429124887628,Metal
Volbeat - Still Counting (Live from Wacken Open Air 2017).mp3_part_1,95.703125,47,0.41693343448050096,0.191388875246048,3046.1194399712226,3502.422683334572,6670.17633302293,0.06485486104392414,144.36253345906837,-38.33487246293877,35.2681746988339,-16.58692599764939,20.28128607038556,-19.478906845016784,25.067234301153974,-9.631948532611032,11.862622921231091,-2.3140485029020077,2.9283699703829833,Metal
Volbeat - Still Counting (Live from Wacken Open Air 2017).mp3_part_2,95.703125,39,0.4206465853366635,0.20154324173927307,3103.571300600951,3476.7393113146754,6641.643172225717,0.0695273573553599,146.0853587447269,-43.218371909129885,35.987700542393725,-16.12777156914385,25.400635812409337,-23.864380662189852,25.389718480670915,-10.022153589178957,12.625050698428694,-1.2195852553397255,5.7365697407574485,Metal
Volbeat - Still Counting (Live from Wacken Open Air 2017).mp3_part_3,101.33272058823529,47,0.6295712935022103,0.1904433518648148,3001.0591178867835,3288.867541346471,6231.728984254062,0.06669819834800697,147.38323806974466,-51.914731510387796,38.84578928328419,-2.6498633449404263,29.46101558430961,-17.68783026950691,25.159708004962525,-4.735660219965765,15.257796033996927,3.3270941501377402,6.5222278372341655,Metal
Volbeat - Still Counting (Live from Wacken Open Air 2017).mp3_part_4,103.359375,50,0.5279797171378009,0.20886202156543726,3114.9641966949284,3408.6353438591173,6549.902060305002,0.06760484441515092,142.35568274988037,-49.06204279181031,44.1942497879646,-10.288046042423074,31.12978119984907,-21.051438900614396,24.06491433900652,-7.017945327681943,13.411268889267884,0.5240239693093676,5.72777122732443,Metal
Volbeat - Still Counting (Live from Wacken Open Air 2017).mp3_part_5,107.666015625,50,0.4924346870778006,0.22212493419647214,3298.920144005801,3712.639490398623,7210.623065015479,0.06652246244920666,135.30634908741712,-44.17202969940268,42.86639781108117,-8.417176000799259,33.75756489893709,-21.22521471497849,27.319645598409306,-9.241264836286307,18.227173425237734,-1.9989831723209937,10.501562629170962,Metal
2 Chainz - Watch Out (Official Music Video) (Explicit).mp3_part_0,130.8139534883721,64,0.2425447579750768,0.07179532200098038,2419.250456440102,2960.1125857291668,4925.307723071453,0.04726381976537505,100.40058512682579,1.485932119885366,-3.574009101608495,-9.287155373291002,-1.4968986499582309,-30.150388157729953,-12.587245612077078,-9.883620592831733,-10.378578345459868,-2.925272004612846,-6.7122780291001,Hip_Hop
2 Chainz - Watch Out (Official Music Video) (Explicit).mp3_part_1,130.8139534883721,62,0.3626033708284288,0.17109675705432892,3066.117192619475,3360.392635207719,6135.100982047636,0.06202977109624955,121.47950972860683,-17.358582003881867,9.329374607652976,-10.13281711531697,16.37818731652714,-35.569811490662154,-1.5466261050956296,0.7899115683289066,-8.581023532561963,-11.2821497822627,-5.60973358174219,Hip_Hop
